gutenberg_id,text,title
1513,"Being vex'd, a sea nourish'd with lovers' tears:",Romeo and Juliet
1513,"What is it else? a madness most discreet,",Romeo and Juliet
1513,"A choking gall, and a preserving sweet.--",Romeo and Juliet
1513,"Farewell, my coz.",Romeo and Juliet
1513,,Romeo and Juliet
1513,[Going.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Soft! I will go along:,Romeo and Juliet
1513,"An if you leave me so, you do me wrong.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,Tut! I have lost myself; I am not here:,Romeo and Juliet
1513,"This is not Romeo, he's some other where.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Tell me in sadness who is that you love?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"What, shall I groan and tell thee?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Groan!  why, no;",Romeo and Juliet
1513,But sadly tell me who.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Bid a sick man in sadness make his will,--",Romeo and Juliet
1513,"Ah, word ill urg'd to one that is so ill!--",Romeo and Juliet
1513,"In sadness, cousin, I do love a woman.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,I aim'd so near when I suppos'd you lov'd.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,A right good markman!--And she's fair I love.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"A right fair mark, fair coz, is soonest hit.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"Well, in that hit you miss: she'll not be hit",Romeo and Juliet
1513,"With Cupid's arrow,--she hath Dian's wit;",Romeo and Juliet
1513,"And, in strong proof of chastity well arm'd,",Romeo and Juliet
1513,From love's weak childish bow she lives unharm'd.,Romeo and Juliet
1513,She will not stay the siege of loving terms,Romeo and Juliet
1513,"Nor bide th' encounter of assailing eyes,",Romeo and Juliet
1513,Nor ope her lap to saint-seducing gold:,Romeo and Juliet
1513,"O, she's rich in beauty; only poor",Romeo and Juliet
1513,"That, when she dies, with beauty dies her store.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,Then she hath sworn that she will still live chaste?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"She hath, and in that sparing makes huge waste;",Romeo and Juliet
1513,"For beauty, starv'd with her severity,",Romeo and Juliet
1513,Cuts beauty off from all posterity.,Romeo and Juliet
1513,"She is too fair, too wise; wisely too fair,",Romeo and Juliet
1513,To merit bliss by making me despair:,Romeo and Juliet
1513,She hath forsworn to love; and in that vow,Romeo and Juliet
1513,Do I live dead that live to tell it now.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"Be rul'd by me, forget to think of her.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,"O, teach me how I should forget to think.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,By giving liberty unto thine eyes;,Romeo and Juliet
1513,Examine other beauties.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Romeo.,Romeo and Juliet
1513,'Tis the way,Romeo and Juliet
1513,"To call hers, exquisite, in question more:",Romeo and Juliet
1513,"These happy masks that kiss fair ladies' brows,",Romeo and Juliet
1513,"Being black, puts us in mind they hide the fair;",Romeo and Juliet
1513,He that is strucken blind cannot forget,Romeo and Juliet
1513,The precious treasure of his eyesight lost:,Romeo and Juliet
1513,"Show me a mistress that is passing fair,",Romeo and Juliet
1513,What doth her beauty serve but as a note,Romeo and Juliet
1513,Where I may read who pass'd that passing fair?,Romeo and Juliet
1513,Farewell: thou canst not teach me to forget.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Benvolio.,Romeo and Juliet
1513,"I'll pay that doctrine, or else die in debt.",Romeo and Juliet
1513,,Romeo and Juliet
1513,[Exeunt.],Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,Scene II. A Street.,Romeo and Juliet
1513,,Romeo and Juliet
1513,"[Enter Capulet, Paris, and Servant.]",Romeo and Juliet
1513,,Romeo and Juliet
1513,Capulet.,Romeo and Juliet
1513,"But Montague is bound as well as I,",Romeo and Juliet
1513,"In penalty alike; and 'tis not hard, I think,",Romeo and Juliet
1513,For men so old as we to keep the peace.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Paris.,Romeo and Juliet
1513,Of honourable reckoning are you both;,Romeo and Juliet
1513,And pity 'tis you liv'd at odds so long.,Romeo and Juliet
1513,"But now, my lord, what say you to my suit?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Capulet.,Romeo and Juliet
1513,But saying o'er what I have said before:,Romeo and Juliet
1513,"My child is yet a stranger in the world,",Romeo and Juliet
1513,She hath not seen the change of fourteen years;,Romeo and Juliet
1513,Let two more summers wither in their pride,Romeo and Juliet
1513,Ere we may think her ripe to be a bride.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Paris.,Romeo and Juliet
1513,Younger than she are happy mothers made.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Capulet.,Romeo and Juliet
1513,And too soon marr'd are those so early made.,Romeo and Juliet
